id,label
0,.frolhkoRtiNlIventhDhbOWindwetDhfrDrendhvDhHol.AndlukthloNDhvDisthvhgaRtrvWakkaRphtidWiTkOslISEvingRAs.AndboRdrdWiTshmRUdAndimitoRAtemt.AtRavri.
1,.hpwdhvDEktrskhntensthnhWar.AndDIeR.pitinDhvylhtAkShnthshpyDhvAkhn.lefbyDhkanDhnsEShn.hvDhmist.RwzizhtselfintUhWrlWen.
2,.ifIRstwbhkhzynfEniS.ininsInOmhl.
3,.sAdhm.stiksfEt.
4,.hteRIbilhthvmalt.hl.aRt.
5,.AtDhHedhvDhpiNkIzWrdifkhsizhT.AndbAmbRyt.HUHAdDhpiRhtOnHISOldr.AndDhRrshpoRthbykhpthnkrlI.AndkAtshntintlAnt.AndROzOlIDhWic.
6,.yWhzHwpiNDhthvDhpEpryWic?IROtWhzTinzhmtREshvhnmykhmfrpanDhspalhStrfhs.nysInhTiN.
7,.RabhdhmhlhlthmprhbicWInhmtRythfoRsthskWyRthstAnbAk.hndfeRIvAlhlIdidDIztUphpoRThmselz.
8,.DIindIhnwshfanhTiNwf.
9,.sUvIhWhzDIAtrIShnhvRens.hndHrtwrnWhzDhRIlshpoRt.hvolDhkamhnIz.WisDhREtizofrzROtrHr.DhspeShlIh.DhplEzhvmeRIbOl.foRWiDwHr.HizkamhtIzWudnevrHAvgaRdthpasteRdI.
10,.DwfoRWhnDhthlHAfwr.SIHAbinhmhmhntakiNtUhbY.nO.nenIvinmAt.SIHAdbintokiN.jistokiN.DeRWenhbrshnzhnvDhkamrsEShn.chstENz.WhnTiN.pAk.
11,.wltRyifymdOolDhTDiNzy?UsthnHw.
12,.tUzti.anist.EtEt.
13,.HreditI.Dhkozhmolafolts.
14,.senslAstDrzDE.y.gipgizizhl.pAvbinhlovhlbUhvDhblUkhntRI.bhnwthj?UaRkankrmykhnncat.yshbazymkankrtUin?UHhvhnObUretol.
15,.DiNksAthmhsO.hnevRrsInenITiNaspaphgWudhnmen.ifItuktamhnhphnWilhnh.sOaRkeRIdDislUthlfelrHwmhnhbuShlbeskhWhnDytlesmaRp.AndavspenOleDhnEnhnsbudnimdigeDr.
16,.AfrDhstizhpaRhn.AndDevrddeRRekiNWiTsrtntIonHinjRemhdhvhkhZrden.HitsImzAzivshmThtydIstibhtIn?UhnmI.
17,.DeRIkeRfhlIDhmijrsjhnWrmivDistAtr.tlEsiNitoltigeDrInhgOldhndiS.WeRHInikstitWiThgOldhndspOn.
18,.HryzWhndrtiDhmEtHinz.
19,.WyitOm?hmpRestWiTWhnI.frmkhnvRIWind.
20,.Wht.WinDath.EzevIWilkum.
21,.misWEkthkynzDhkaRncthmy.
22,.DhplEsHIHAdWhzhfeRIgudWhn.DhshnSunanHim.AzShfReSeRDeRWhzhnafrvDAk.hndRwndHimgRUmenIlaRdzyzdkamAdz.pyzezWelhzfrz.
