id,label
0,.prlhkoRdiNlIRenthDhbOWindOAtDhfrDrendhvDhHol.AndlupthloNDhvisthvhgaRdhnWok.kaphthd.WiTklOslISEvhngRAs.hndboRdrdWiTshmRUdAndimtoR.htempt.AtRebrI.
1,.DhpwdhpvEprzkhntenstinhWotr.AndDIeR.phtinhvyhlhntAkShntUshplyDhvAkhm.leftbyDhkandhnsEShn.hvDhmiist.RwzizitselfintUhWrldWen.
2,.AndfiRsDwbikhzyfAniS.AndAmsInOmoR.
3,.sADhm.siksfIt.
4,.DhveRIhbilitIhvmhlthphlpaRts.
5,.AtDhHedhvDhpiNkIzWrgitbisizhl.hndbhtembRyt.HUHAdDhpiRhnOnHizSODr.AndDeRWrshpoRtidbykepthnkoRhlI.AndkApthntintent.AndROzhlIDhWic.
6,.yWhzHOpiNDhtifDhpEpranWicHIROtWhzTinshmtREshvitmytkhmTRUhpanDispaliSstrfhs.nyysInhTiN.
7,.RabhdinDhlithlthmprbitWInDhmtRydthfoRsDhskWyrdistAndbAk.hndveRIvAlIthnlItiDIztUkhmpoRtDhmselz.
8,.DIindIhnytolsOTotnhTiNhv.
9,.silvIOtWhzDIAtrEShnhvfRAns.AndHrtwlhntWhzDhRIlshpoRt.hvolDhkamhtIz.WhcDhgREtizoTrzROtfrHr.hspeShlIh.DhplEzhv.meRbO.foRWiDwtHr.HizkamhnIzWudnevrHAvgonthpRosteRhtI.
10,.DwfoRWhnlithlHAfwr.SIHAdbinhWumhntokiNtUhbY.mO.nAtIvinDAt.SIHAdbintokiN.tiztokiN.DeRWrnOprshnzhnDhkavrsEShn.jhstTiNz.WhnTiN.pathn.
11,.yltRy.ifynOolDhTiNzy?UzdtinO.
12,.tUzdE.olgist.EtIt.
13,.HrRedhtI.DhkazhvolaRfolts.
14,.sinslAstDrzdEy.kip.gisizOn.HAvbinDhlofhlbUlRUhvDhbUkhntRI.bhtnwDht?UrkaNkrdbykWInSot.ysipOzyAmkaNkrtUhnd?UHAvnObUDhRUAtol.
15,.TiNsAthmysev.hnhnevbrsInenITiNySpaphgudhnmen.ifItuktyminhphndWUlhnhp.sOykeRIdDislithlfelrHwmhndhbuShlbAskhtWoRnytlesmaRp.AndyvsmenthlevhnIvnhnsbuthHimthgADr.
16,.AftrDisdizhpRhn.ynevrdeRRhkhnWiTsrthntIonDIinjRYmhnthvDhpleZrhgen.itsImzAzivshmfitAlhtIstudbitIn?UnmI.
17,.veRIkeRfhlIDhmhjiShnRimUvDispwdr.plEsiNitolthgeDrinhgOldhndiS.WeRHImikstitWiThgOldhnspUn.
18,.HryzWhndr.tUDhmEdtHAnz.
19,.WyAthNimpRestWiTHhnI.frm.ifRIWind.
20,.bht.Whnytr.igzAktlIWelkhm.
21,.mislEt.diklynzDhkwRijthmyt.
22,.DhplEsHIHAdWhzhveRIgudWhn.DhshnSOnanHim.AzthfResSeRDeRWhzinhfhvDApt.hndRwndHimgRUmenIlaRjsyzdkamRAdzplynzezWelezfrz.
23,.WicHIHAdbAdbAnilnhs.hndyWhzOnlIilevin?iRzOld.SIizthsE.?UlHAvhfRendanrTin?uRAntREjh.ifyAmtEkhnfrm?U.frSIAnzhkyndHat.AndymSuRyvfwnditsw.
