id,label
0,.frlhkoRdiNlIAnthDhbObindOAtDhfrDrendhvDhHol.AndlukthloNDhvisthhvhgaRdinWokkaRphtidWiTklOslISEvingRAs.AndboRtrdWiTshmRUdhndinitoRhtempt.AchvrI.
1,.DhpwldhvvEprzkhntenstinhWotr.AndDIeR.pitinhvylhAkShntishplyDhvAkhm.lefbyDhkandinsEShn.hvDhmist.RwzizitselfintUhWrlWend.
2,.AndfIrRstwlbikhzyfAniS.inhmsInOmoR.
3,.fADhm.stiksfIt.
4,.DhveRIIbilhtIhvmoltbhlpaRts.
5,.AtDhHedhvDhpiNkIzWrgitfhsizOl.AndbyimbRyt.HUHAdDhpiRhtOnHizSOdr.hndDORrshpoRthbykhpthnkoRhlI.AndkAtintintAnt.AndROzhlIDhWic.
6,.yWhzHOpiNDhthfDhpEpryWicHIROtWhzDinshmtREshvitmykhmTRUpanDhspaliStrvhs.nasInhTiN.
7,.RhbhdimhlithlthmbrRbitWInDhmtRythfoRsDhskWyrdistAndbAk.hndveRIvAlIhlItidDIiztUphmpoRtDhmtelz.
8,.DhinDIhnylsOTotnhTiNhv.
9,.sUvIOWhzDIAdrEShnhfRAns.hndHrtelhntWhzDhRIlshmpoRt.hvolDhkamhnIz.WisDhgREtizotrzROtfrHr.ispeShlIh.DhplEzhvmeRivO.foRWiDwtHr.HizkamhtIzWudnevrHAvganthpRasteRhtI.
10,.DwfoRlWhnlithlHAfwr.SIHAdbinhmUmhntakiNtUhbY.nO.natIvinet.SIHAdbintokiN.jiztokiN.DERWrnObrshnzhvDhpavrsEShn.jisTiNz.WhnTiN.kAtn.
11,.oltRyifynOolDhTiNz.y?UstinHO.
12,.tUzdE.olgistpEtET.
13,.HreditI.DhkozhmolaRfolt.
14,.senslAstTrzdEy.kip.isizhl.HAvbinDhlofhlbilRUhvDhblinkhntRI.bhtHAht?UaRkaNkrbykWEnSat.yshpolzyAmkamkrtiend?UHAvnObUDhRUhtol.
